date,NAME_1,NAME_2,Precipitation,Temperature,St_Prec,St_Temp
2024/06/07,Saint-Benoît,Saint-André,0.00122155,20.920557,0.011372326,0.502935068
2024/06/07,Saint-Benoît,Saint-Benoît,0.002586581,19.7662601,0.024080423,0.412475918
2024/06/07,Saint-Benoît,Sainte-Rose,0.003822219,19.7574711,0.035583903,0.411787148
2024/06/07,Saint-Benoît,Salazie,0.001166124,19.1725101,0.010856323,0.365945325
2024/06/07,Saint-Denis,La Possession,1.20E-04,19.1725101,0.001118757,0.365945325
2024/06/07,Saint-Denis,Le Port,1.28E-04,NA,0.001190409,NA
2024/06/07,Saint-Denis,Saint-Denis,0.000237942,19.1725101,0.002215178,0.365945325
2024/06/07,Saint-Denis,Sainte-Marie,8.34E-04,19.1725101,0.007761812,0.365945325
2024/06/07,Saint-Denis,Sainte-Suzanne,6.65E-04,20.920557,0.006191485,0.502935068
2024/06/07,Saint-Paul,L'Étang-Salé,3.28E-04,20.3775883,0.003052321,0.460384068
2024/06/07,Saint-Paul,Les Avirons,2.66E-04,20.3775883,0.002475521,0.460384068
2024/06/07,Saint-Paul,Les Trois-Bassins,2.04E-04,19.1725101,0.001902108,0.365945325
2024/06/07,Saint-Paul,Saint-Leu,1.60E-04,19.7750492,0.001492138,0.413164696
2024/06/07,Saint-Paul,Saint-Paul,1.28E-04,19.1725101,0.001190409,0.365945325
2024/06/07,Saint-Pierre,Cilaos,8.59E-04,19.7750492,0.007993883,0.413164696
2024/06/07,Saint-Pierre,L'Entre-Deux,0.001435883,20.3775883,0.013367716,0.460384068
2024/06/07,Saint-Pierre,Le Tampon,0.002709404,20.3775883,0.025223873,0.460384068
2024/06/07,Saint-Pierre,Petite-Île,0.002678148,20.3775883,0.024932895,0.460384068
2024/06/07,Saint-Pierre,Saint-Joseph,0.003070325,18.6119633,0.028583958,0.322016777
2024/06/07,Saint-Pierre,Saint-Louis,3.28E-04,20.3775883,0.003052321,0.460384068
2024/06/07,Saint-Pierre,Saint-Philippe,0.003208682,16.8463383,0.02987203,0.183649486
2024/06/07,Saint-Pierre,Saint-Pierre,0.001481697,20.3775883,0.01379423,0.460384068
2024/06/08,Saint-Benoît,Bras-Panon,9.67E-04,20.2757206,0.00900152,0.45240097
2024/06/08,Saint-Benoît,La Plaine-des-Palmistes,0.001622751,19.2050419,0.015107411,0.368494755
2024/06/08,Saint-Benoît,Saint-André,8.53E-04,20.2757206,0.007939526,0.45240097
2024/06/08,Saint-Benoît,Saint-Benoît,0.001412705,19.2050419,0.013151928,0.368494755
2024/06/08,Saint-Benoît,Sainte-Rose,0.001989596,19.8262577,0.018522639,0.417177769
2024/06/08,Saint-Benoît,Salazie,0.001094349,18.015955,0.010188114,0.275309206
2024/06/08,Saint-Denis,La Possession,7.72E-04,18.015955,0.007182821,0.275309206
2024/06/08,Saint-Denis,Le Port,5.25E-04,NA,0.004888569,NA
2024/06/08,Saint-Denis,Saint-Denis,5.68E-04,18.015955,0.005285464,0.275309206
2024/06/08,Saint-Denis,Sainte-Marie,7.61E-04,18.015955,0.00708554,0.275309206
2024/06/08,Saint-Denis,Sainte-Suzanne,6.25E-04,20.2757206,0.005815537,0.45240097
2024/06/08,Saint-Paul,L'Étang-Salé,0.001478121,19.1516972,0.013760935,0.364314274
2024/06/08,Saint-Paul,Les Avirons,0.001192326,19.1516972,0.011100261,0.364314274
2024/06/08,Saint-Paul,Les Trois-Bassins,8.94E-04,18.015955,0.00832093,0.275309206
2024/06/08,Saint-Paul,Saint-Leu,9.93E-04,18.5838261,0.009241794,0.31981174
2024/06/08,Saint-Paul,Saint-Paul,5.25E-04,18.015955,0.004888569,0.275309206
2024/06/08,Saint-Pierre,Cilaos,0.001380973,18.5838261,0.012856511,0.31981174
2024/06/08,Saint-Pierre,L'Entre-Deux,0.001645759,19.1516972,0.015321604,0.364314274
2024/06/08,Saint-Pierre,Le Tampon,0.001757503,19.1516972,0.016361911,0.364314274
2024/06/08,Saint-Pierre,Petite-Île,0.001582503,19.1516972,0.014732712,0.364314274
2024/06/08,Saint-Pierre,Saint-Joseph,0.001698378,18.1343632,0.015811481,0.284588539
2024/06/08,Saint-Pierre,Saint-Louis,0.001478121,19.1516972,0.013760935,0.364314274
2024/06/08,Saint-Pierre,Saint-Philippe,0.001545414,17.1170292,0.014387423,0.204862805
2024/06/08,Saint-Pierre,Saint-Pierre,0.001492038,19.1516972,0.013890506,0.364314274
2024/06/09,Saint-Benoît,Bras-Panon,6.44E-04,21.7947025,0.00599269,0.571439504
2024/06/09,Saint-Benoît,La Plaine-des-Palmistes,0.001618978,20.5683842,0.015072279,0.475336231
2024/06/09,Saint-Benoît,Saint-André,5.06E-04,21.7947025,0.004709751,0.571439504
2024/06/09,Saint-Benoît,Saint-Benoît,0.001375534,20.5683842,0.012805876,0.475336231
2024/06/09,Saint-Benoît,Sainte-Rose,0.001830108,21.083765,0.017037854,0.51572524
2024/06/09,Saint-Benoît,Salazie,0.001097895,19.6277103,0.010221131,0.401618142
2024/06/09,Saint-Denis,La Possession,7.65E-04,19.6277103,0.007117343,0.401618142
2024/06/09,Saint-Denis,Le Port,4.30E-04,NA,0.004004051,NA
2024/06/09,Saint-Denis,Saint-Denis,4.88E-04,19.6277103,0.004543072,0.401618142
2024/06/09,Saint-Denis,Sainte-Marie,5.64E-04,19.6277103,0.005252517,0.401618142
2024/06/09,Saint-Denis,Sainte-Suzanne,2.30E-04,21.7947025,0.002143873,0.571439504
2024/06/09,Saint-Paul,L'Étang-Salé,0.001319751,20.4782963,0.012286554,0.468276284
2024/06/09,Saint-Paul,Les Avirons,0.001077831,20.4782963,0.010034336,0.468276284
2024/06/09,Saint-Paul,Les Trois-Bassins,8.37E-04,19.6277103,0.007794673,0.401618142
2024/06/09,Saint-Paul,Saint-Leu,8.76E-04,20.0530033,0.008155846,0.434947213
2024/06/09,Saint-Paul,Saint-Paul,4.30E-04,19.6277103,0.004004051,0.401618142
2024/06/09,Saint-Pierre,Cilaos,0.001315419,20.0530033,0.01224622,0.434947213
2024/06/09,Saint-Pierre,L'Entre-Deux,0.001588866,20.4782963,0.014791948,0.468276284
2024/06/09,Saint-Pierre,Le Tampon,0.001824155,20.4782963,0.016982433,0.468276284
2024/06/09,Saint-Pierre,Petite-Île,0.00155206,20.4782963,0.014449294,0.468276284
2024/06/09,Saint-Pierre,Saint-Joseph,0.001701664,19.3420658,0.01584207,0.37923295
2024/06/09,Saint-Pierre,Saint-Louis,0.001319751,20.4782963,0.012286554,0.468276284
2024/06/09,Saint-Pierre,Saint-Philippe,0.001529753,18.2058353,0.014241621,0.290189616
2024/06/09,Saint-Pierre,Saint-Pierre,0.001344725,20.4782963,0.012519059,0.468276284
2024/06/10,Saint-Benoît,Bras-Panon,5.33E-04,21.7078648,0.00496233,0.564634266
2024/06/10,Saint-Benoît,La Plaine-des-Palmistes,0.001310512,20.5623569,0.012200537,0.474863887
2024/06/10,Saint-Benoît,Saint-André,3.96E-04,21.7078648,0.003687784,0.564634266
2024/06/10,Saint-Benoît,Saint-Benoît,0.001153211,20.5623569,0.01073611,0.474863887
2024/06/10,Saint-Benoît,Sainte-Rose,0.001704711,20.5359898,0.015870432,0.472797568
2024/06/10,Saint-Benoît,Salazie,5.08E-04,20.3172398,0.004726149,0.455654718
2024/06/10,Saint-Denis,La Possession,1.92E-05,20.3172398,0.000179123,0.455654718
2024/06/10,Saint-Denis,Le Port,1.88E-05,NA,0.000174684,NA
2024/06/10,Saint-Denis,Saint-Denis,5.15E-05,20.3172398,0.000479118,0.455654718
2024/06/10,Saint-Denis,Sainte-Marie,2.76E-04,20.3172398,0.002568264,0.455654718
2024/06/10,Saint-Denis,Sainte-Suzanne,1.22E-04,21.7078648,0.001138692,0.564634266
2024/06/10,Saint-Paul,L'Étang-Salé,5.68E-05,20.8602085,0.000529129,0.498205718
2024/06/10,Saint-Paul,Les Avirons,5.11E-05,20.8602085,0.000475905,0.498205718
2024/06/10,Saint-Paul,Les Trois-Bassins,4.79E-05,20.3172398,0.000446102,0.455654718
2024/06/10,Saint-Paul,Saint-Leu,1.20E-05,20.5887241,0.000111425,0.476930214
2024/06/10,Saint-Paul,Saint-Paul,1.88E-05,20.3172398,0.000174684,0.455654718
2024/06/10,Saint-Pierre,Cilaos,3.39E-04,20.5887241,0.003157087,0.476930214
2024/06/10,Saint-Pierre,L'Entre-Deux,6.09E-04,20.8602085,0.005672677,0.498205718
2024/06/10,Saint-Pierre,Le Tampon,0.001249689,20.8602085,0.011634292,0.498205718
2024/06/10,Saint-Pierre,Petite-Île,0.001193422,20.8602085,0.011110462,0.498205718
2024/06/10,Saint-Pierre,Saint-Joseph,0.001372743,19.4168491,0.012779892,0.385093516
2024/06/10,Saint-Pierre,Saint-Louis,5.68E-05,20.8602085,0.000529129,0.498205718
2024/06/10,Saint-Pierre,Saint-Philippe,0.001361924,17.9734898,0.012679177,0.271981323
2024/06/10,Saint-Pierre,Saint-Pierre,6.04E-04,20.8602085,0.005623151,0.498205718
2024/06/11,Saint-Benoît,Bras-Panon,2.23E-04,22.2849674,0.002073158,0.609860248
2024/06/11,Saint-Benoît,La Plaine-des-Palmistes,6.44E-04,21.2878971,0.005997164,0.531722525
2024/06/11,Saint-Benoît,Saint-André,1.57E-04,22.2849674,0.001463491,0.609860248
2024/06/11,Saint-Benoît,Saint-Benoît,5.16E-04,21.2878971,0.00480294,0.531722525
2024/06/11,Saint-Benoît,Sainte-Rose,8.50E-04,21.0750065,0.007917272,0.51503886
2024/06/11,Saint-Benoît,Salazie,3.16E-04,21.3816471,0.00294356,0.539069461
2024/06/11,Saint-Denis,La Possession,1.22E-04,21.3816471,0.001139982,0.539069461
2024/06/11,Saint-Denis,Le Port,0,NA,0,NA
2024/06/11,Saint-Denis,Saint-Denis,5.31E-06,21.3816471,4.95E-05,0.539069461
2024/06/11,Saint-Denis,Sainte-Marie,1.11E-04,21.3816471,0.001032677,0.539069461
2024/06/11,Saint-Denis,Sainte-Suzanne,2.62E-05,22.2849674,0.000244158,0.609860248
2024/06/11,Saint-Paul,L'Étang-Salé,5.44E-04,21.6199284,0.005059896,0.557742927
2024/06/11,Saint-Paul,Les Avirons,4.08E-04,21.6199284,0.003793928,0.557742927
2024/06/11,Saint-Paul,Les Trois-Bassins,2.41E-04,21.3816471,0.002244311,0.539069461
2024/06/11,Saint-Paul,Saint-Leu,3.48E-04,21.5007877,0.003244249,0.54840619
2024/06/11,Saint-Paul,Saint-Paul,0,21.3816471,0,0.539069461
2024/06/11,Saint-Pierre,Cilaos,4.89E-04,21.5007877,0.00455391,0.54840619
2024/06/11,Saint-Pierre,L'Entre-Deux,6.44E-04,21.6199284,0.005998239,0.557742927
2024/06/11,Saint-Pierre,Le Tampon,7.29E-04,21.6199284,0.006782596,0.557742927
2024/06/11,Saint-Pierre,Petite-Île,5.94E-04,21.6199284,0.0055299,0.557742927
2024/06/11,Saint-Pierre,Saint-Joseph,6.92E-04,20.2908268,0.006439908,0.453584802
2024/06/11,Saint-Pierre,Saint-Louis,5.44E-04,21.6199284,0.005059896,0.557742927
2024/06/11,Saint-Pierre,Saint-Philippe,6.28E-04,18.9617252,0.005846958,0.349426678
2024/06/11,Saint-Pierre,Saint-Pierre,5.17E-04,21.6199284,0.004812339,0.557742927
2024/06/12,Saint-Benoît,Bras-Panon,0.001085967,20.7718143,0.010110081,0.491278501
2024/06/12,Saint-Benoît,La Plaine-des-Palmistes,8.28E-04,19.7515507,0.007704605,0.411323182
2024/06/12,Saint-Benoît,Saint-André,0.001107519,20.7718143,0.010310725,0.491278501
2024/06/12,Saint-Benoît,Saint-Benoît,8.66E-04,19.7515507,0.008062761,0.411323182
2024/06/12,Saint-Benoît,Sainte-Rose,9.32E-04,19.9539433,0.008672185,0.427184147
2024/06/12,Saint-Benoît,Salazie,5.95E-04,19.2845097,0.005536559,0.374722433
2024/06/12,Saint-Denis,La Possession,6.88E-04,19.2845097,0.006409285,0.374722433
2024/06/12,Saint-Denis,Le Port,0.002309069,NA,0.021496858,NA
2024/06/12,Saint-Denis,Saint-Denis,6.58E-04,19.2845097,0.006126283,0.374722433
2024/06/12,Saint-Denis,Sainte-Marie,8.63E-04,19.2845097,0.00803068,0.374722433
2024/06/12,Saint-Denis,Sainte-Suzanne,0.001150623,20.7718143,0.010712013,0.491278501
2024/06/12,Saint-Paul,L'Étang-Salé,0.001055822,19.8138065,0.009829438,0.416202002
2024/06/12,Saint-Paul,Les Avirons,0.001892204,19.8138065,0.017615949,0.416202002
2024/06/12,Saint-Paul,Les Trois-Bassins,0.002094641,19.2845097,0.019500589,0.374722433
2024/06/12,Saint-Paul,Saint-Leu,0.003546461,19.5491581,0.033016673,0.395462217
2024/06/12,Saint-Paul,Saint-Paul,0.002309069,19.2845097,0.021496858,0.374722433
2024/06/12,Saint-Pierre,Cilaos,8.59E-04,19.5491581,0.007994508,0.395462217
2024/06/12,Saint-Pierre,L'Entre-Deux,7.06E-04,19.8138065,0.006572426,0.416202002
2024/06/12,Saint-Pierre,Le Tampon,7.34E-04,19.8138065,0.006837393,0.416202002
2024/06/12,Saint-Pierre,Petite-Île,5.61E-04,19.8138065,0.005224009,0.416202002
2024/06/12,Saint-Pierre,Saint-Joseph,6.91E-04,18.731287,0.006434463,0.331367855
2024/06/12,Saint-Pierre,Saint-Louis,0.001055822,19.8138065,0.009829438,0.416202002
2024/06/12,Saint-Pierre,Saint-Philippe,6.25E-04,17.6487675,0.005820947,0.246533708
2024/06/12,Saint-Pierre,Saint-Pierre,5.32E-04,19.8138065,0.00495377,0.416202002
